,epochs,epochs,hidden_neurons,hidden_neurons,hidden_layers,hidden_layers,acc_train,acc_train,mse_train,mse_train,mae_train,mae_train,rmse_train,rmse_train,std_res_train,std_res_train,ia_train,ia_train,acc_test,acc_test,mse_test,mse_test,mae_test,mae_test,rmse_test,rmse_test,std_res_test,std_res_test,ia_test,ia_test
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
regularization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.005,116.66666666666667,62.53490645343339,44.166666666666664,34.667212787561965,5.5,2.8802932811564275,0.7912333333333333,0.15338934650135164,138.90078888888888,102.06253349051589,7.70105,1.6804586607040357,11.50453888888889,2.5656500507350453,11.336394444444444,2.0667186647134907,0.9346833333333333,0.09104750279586546,0.7498666666666667,0.14827173453686254,160.16873333333334,94.96069810581713,8.158794444444444,1.5389306332072652,12.451616666666668,2.270439418683223,12.294300000000002,1.7314261983829773,0.9229833333333334,0.08889297280733235
0.01,116.66666666666667,62.53490645343339,44.166666666666664,34.667212787561965,5.5,2.8802932811564275,0.7970722222222223,0.10971878887367302,135.0229111111111,72.995933768231,7.633805555555556,1.4236920218759823,11.430327777777777,2.0964011589712057,11.350383333333333,2.084849916962126,0.9316,0.10827079644635708,0.756588888888889,0.10136050980771164,155.8394277777778,64.89854601215625,8.082827777777778,1.2400089422571579,12.361522222222222,1.7457454281945213,12.286055555555555,1.730786541651586,0.9200666666666666,0.10613470938535068
0.05,116.66666666666667,62.53490645343339,44.166666666666664,34.667212787561965,5.5,2.8802932811564275,0.8034333333333333,0.10185070133842225,130.78475555555556,67.76397305267783,7.527072222222222,1.107916626708911,11.303411111111112,1.7418679557575107,11.19835,1.3727536387834833,0.9423833333333332,0.04187254870670672,0.7634666666666667,0.09735911752559763,151.44729999999998,62.34855409082684,7.971894444444445,0.9637317048077455,12.219661111111112,1.462343837487568,12.115822222222222,1.030905135493123,0.9309888888888889,0.03999957945154464
0.1,116.66666666666667,62.53490645343339,44.166666666666664,34.667212787561965,5.5,2.8802932811564275,0.8028666666666666,0.09116994996453771,131.16317222222222,60.66618004838373,7.553272222222222,1.2177466360516642,11.312805555555556,1.7893012683780343,11.240983333333332,1.780898011110589,0.9360944444444443,0.09200168186598591,0.7624333333333333,0.08295991493506678,152.11325555555555,53.12650804265075,8.004900000000001,1.032918640222179,12.249955555555557,1.4364835666027653,12.179033333333335,1.4283283580199693,0.9245222222222224,0.09007535365357312
0.5,116.66666666666667,62.53490645343339,44.166666666666664,34.667212787561965,5.5,2.8802932811564275,0.7983944444444445,0.118970467074827,134.12669444444444,79.1534065640502,7.5912,1.3349853864829002,11.396772222222221,2.0649092499180832,11.286366666666668,1.7520142945387618,0.9380000000000001,0.07198789469931886,0.7590666666666667,0.11352555393675931,154.27468888888887,72.69911519746887,8.023761111111112,1.1849551360523574,12.294777777777778,1.7691258408728847,12.187333333333331,1.422703842499797,0.9267666666666667,0.0699568182851465
0.75,116.66666666666667,62.53490645343339,44.166666666666664,34.667212787561965,5.5,2.8802932811564275,0.7916555555555556,0.15310508029265885,138.60367222222223,101.84121798670154,7.676277777777778,1.6684936941219293,11.495005555555556,2.550379493061411,11.352505555555556,2.066468105279286,0.9343611111111111,0.09102162330662457,0.7509166666666667,0.14792822036341902,159.4766277777778,94.71750858882476,8.121922222222222,1.527497264599241,12.425994444444445,2.258359738718826,12.287794444444444,1.7307304677286615,0.9226166666666666,0.08887284715194992
1.0,116.66666666666667,62.53490645343339,44.166666666666664,34.667212787561965,5.5,2.8802932811564275,0.774938888888889,0.1932511077794288,149.75626666666668,128.55797907018473,7.8703,2.2565702627744577,11.780277777777776,3.3230850344028413,11.63541111111111,2.9741172030210965,0.9144722222222221,0.16039962072969394,0.7346611111111111,0.1853724670813634,169.91029444444445,118.68944262476602,8.315844444444444,2.0754021561484173,12.697055555555554,2.9569046432920416,12.553088888888889,2.5853297128022574,0.9029833333333334,0.1575460374322837
