,datetime,NO2_simaj,Temp Ext,NO2_EcoMesure,residuals,Temp_Id
1265,2021-06-22 17:00:00,0.015,28.0,0.062796888,-0.047796887999999996,C
223,2021-05-10 07:00:00,0.02,21.6,0.035802278,-0.015802278,C
1224,2021-06-21 00:00:00,0.006,22.7,0.037063644,-0.031063644,C
632,2021-05-27 08:00:00,0.046,24.1,0.032030754,0.013969245999999998,C
670,2021-05-28 22:00:00,0.017,26.8,0.057598147,-0.040598147,C
982,2021-06-10 22:00:00,0.01,27.2,0.085947456,-0.07594745600000001,C
555,2021-05-24 03:00:00,0.009,22.5,0.036892926,-0.027892926,C
106,2021-05-05 10:00:00,0.028,22.9,0.028466011,-0.0004660109999999988,C
1405,2021-06-28 13:00:00,0.01,23.1,0.035845293,-0.025845293,C
1050,2021-06-13 18:00:00,0.015,20.8,0.045583466,-0.030583466000000004,C
1134,2021-06-17 06:00:00,0.013,21.4,0.034520762,-0.021520762000000006,C
911,2021-06-07 23:00:00,0.01,27.2,0.062632934,-0.052632934,C
684,2021-05-29 12:00:00,0.007,28.6,0.048178484,-0.041178484,C
1101,2021-06-15 21:00:00,0.027,29.3,0.060335532,-0.033335532,C
419,2021-05-18 11:00:00,0.044,27.8,0.050920443,-0.006920443000000005,C
511,2021-05-22 07:00:00,0.041,21.0,0.049746959,-0.008746958999999999,C
1150,2021-06-17 22:00:00,0.017,25.3,0.045225949,-0.028225949,C
887,2021-06-06 23:00:00,0.013,23.1,0.056042943,-0.043042943,C
1381,2021-06-27 13:00:00,0.006,23.6,0.030751853,-0.024751852999999997,C
356,2021-05-15 20:00:00,0.019,25.3,0.047798138,-0.028798137999999997,C
1399,2021-06-28 07:00:00,0.017,18.2,0.037026746,-0.020026745999999998,B
1322,2021-06-25 02:00:00,0.014,19.6,0.040459876,-0.026459876,B
101,2021-05-05 05:00:00,0.013,19.1,0.039978954,-0.026978954,B
871,2021-06-06 07:00:00,0.02,20.0,0.043869273,-0.023869273,B
1343,2021-06-25 23:00:00,0.017,19.3,0.04759555,-0.03059555,B
6,2021-05-01 06:00:00,0.008,18.9,0.041414309,-0.033414309,B
1394,2021-06-28 02:00:00,0.009,19.1,0.036796516,-0.027796516,B
1345,2021-06-26 01:00:00,0.009,19.0,0.032821729,-0.023821729,B
1348,2021-06-26 04:00:00,0.011,18.4,0.035878936,-0.024878936,B
821,2021-06-04 05:00:00,0.006,17.1,0.041658679,-0.035658679,B
390,2021-05-17 06:00:00,0.017,19.5,0.037530177,-0.020530176999999997,B
1349,2021-06-26 05:00:00,0.015,18.4,0.03372242,-0.018722420000000004,B
100,2021-05-05 04:00:00,0.011,19.4,0.043123067,-0.032123067000000005,B
389,2021-05-17 05:00:00,0.011,20.0,0.033898218,-0.022898218,B
1031,2021-06-12 23:00:00,0.013,19.8,0.045373484,-0.032373484,B
1424,2021-06-29 08:00:00,0.025,19.3,0.03966703,-0.014667029999999998,B
1036,2021-06-13 04:00:00,0.008,19.4,0.034585931,-0.026585931,B
1376,2021-06-27 08:00:00,0.01,18.3,0.034599637,-0.024599637,B
1276,2021-06-23 04:00:00,0.007,20.0,0.032198191,-0.025198191,B
795,2021-06-03 03:00:00,0.01,18.8,0.033251968,-0.023251967999999998,B
475,2021-05-20 19:00:00,0.015,31.0,0.05446133,-0.03946133,D
664,2021-05-28 16:00:00,0.008,35.1,0.087585745,-0.07958574500000001,D
618,2021-05-26 18:00:00,0.01,35.1,0.087940443,-0.077940443,D
446,2021-05-19 14:00:00,0.008,30.3,0.038030186,-0.030030186,D
17,2021-05-01 17:00:00,0.004,31.5,0.035480771,-0.031480771000000005,D
572,2021-05-24 20:00:00,0.014,30.8,0.054880211,-0.040880211,D
570,2021-05-24 18:00:00,0.009,34.0,0.072672548,-0.06367254800000001,D
378,2021-05-16 18:00:00,0.006,32.5,0.042530869,-0.036530869,D
209,2021-05-09 17:00:00,0.005,32.4,0.066915018,-0.06191501800000001,D
303,2021-05-13 15:00:00,0.009,31.3,0.090696941,-0.08169694100000001,D
422,2021-05-18 14:00:00,0.005,32.5,0.044958874,-0.039958874000000005,D
738,2021-05-31 18:00:00,0.01,32.9,0.058232305,-0.048232304999999996,D
568,2021-05-24 16:00:00,0.007,33.8,0.095249832,-0.088249832,D
642,2021-05-27 18:00:00,0.009,35.7,0.078653963,-0.069653963,D
89,2021-05-04 17:00:00,0.008,31.9,0.058106348,-0.050106348,D
973,2021-06-10 13:00:00,0.01,30.1,0.060633129,-0.050633129,D
1096,2021-06-15 16:00:00,0.008,31.2,0.084424628,-0.076424628,D
711,2021-05-30 15:00:00,0.006,34.0,0.100015434,-0.094015434,D
160,2021-05-07 16:00:00,0.007,33.4,0.094944105,-0.087944105,D
280,2021-05-12 16:00:00,0.007,32.8,0.073134246,-0.066134246,D
