,datetime,O3_simaj,Temp Ext,O3_eLichens,residuals,Temp_Id
21,2021-05-01 21:00:00,0.027,25.3,0.024583469,0.0024165309999999995,C
1279,2021-06-23 07:00:00,0.011,20.5,0.024460204,-0.013460204,C
1025,2021-06-12 17:00:00,0.034,28.4,0.045520799,-0.011520798999999998,C
1151,2021-06-17 23:00:00,0.033,24.6,0.030523155,0.002476845000000002,C
988,2021-06-11 04:00:00,0.02,22.1,0.025691207,-0.005691207,C
574,2021-05-24 22:00:00,0.031,27.0,0.025833435,0.0051665650000000014,C
1135,2021-06-17 07:00:00,0.015,20.8,0.019202942,-0.004202942000000001,C
489,2021-05-21 09:00:00,0.023,22.6,0.015900986,0.007099014000000001,C
922,2021-06-08 10:00:00,0.036,26.3,0.053564855,-0.017564855000000004,C
646,2021-05-27 22:00:00,0.04,28.6,0.048798954,-0.008798953999999998,C
234,2021-05-10 18:00:00,0.035,26.8,0.03928324,-0.004283239999999994,C
630,2021-05-27 06:00:00,0.018,23.5,0.037893597,-0.019893597000000002,C
1054,2021-06-13 22:00:00,0.002,21.1,0.024292662,-0.022292661999999998,C
388,2021-05-17 04:00:00,0.018,20.8,0.043361531,-0.025361531000000003,C
722,2021-05-31 02:00:00,0.028,23.4,0.02155091,0.006449090000000001,C
14,2021-05-01 14:00:00,0.024,29.7,0.047476947,-0.023476946999999998,C
959,2021-06-09 23:00:00,0.03,27.7,0.031909056,-0.0019090559999999993,C
678,2021-05-29 06:00:00,0.021,21.5,0.025415,-0.004414999999999999,C
1314,2021-06-24 18:00:00,0.051,26.9,0.055734362,-0.004734362000000006,C
1159,2021-06-18 07:00:00,0.009,21.6,0.009708554,-0.0007085540000000001,C
1344,2021-06-26 00:00:00,0.015,18.8,0.012636735,0.002363265,B
50,2021-05-03 02:00:00,0.032,19.0,0.031534515,0.0004654850000000016,B
794,2021-06-03 02:00:00,0.026,18.7,0.025499515,0.0005004849999999984,B
1315,2021-06-24 19:00:00,0.035,18.5,0.017005536,0.017994464,B
1319,2021-06-24 23:00:00,0.018,19.1,0.012310876,0.0056891239999999985,B
1320,2021-06-25 00:00:00,0.02,19.4,0.0200554,-5.540000000000059e-05,B
244,2021-05-11 04:00:00,0.01,19.9,0.033566454,-0.023566454,B
1346,2021-06-26 02:00:00,0.014,18.7,0.023587534,-0.009587534,B
1342,2021-06-25 22:00:00,0.014,19.4,0.003689286,0.010310714,B
1321,2021-06-25 01:00:00,0.01,19.6,0.022266335,-0.012266335000000001,B
799,2021-06-03 07:00:00,0.017,19.4,0.025953929,-0.008953929,B
823,2021-06-04 07:00:00,0.019,17.5,0.022234592,-0.0032345920000000014,B
796,2021-06-03 04:00:00,0.025,19.0,0.036705714,-0.011705713999999999,B
1391,2021-06-27 23:00:00,0.007,19.9,0.001131879,0.0058681210000000004,B
460,2021-05-20 04:00:00,0.017,19.9,0.040282772,-0.023282772,B
81,2021-05-04 09:00:00,0.036,19.5,0.041977628,-0.005977628000000006,B
820,2021-06-04 04:00:00,0.029,18.2,0.019835085,0.009164915000000003,B
1187,2021-06-19 11:00:00,0.007,20.0,0.008207704,-0.0012077039999999995,B
1419,2021-06-29 03:00:00,0.004,20.0,0.014307151,-0.010307151,B
1447,2021-06-30 07:00:00,0.004,20.0,0.029534566,-0.025534566,B
305,2021-05-13 17:00:00,0.052,31.9,0.101105221,-0.049105221,D
569,2021-05-24 17:00:00,0.061,33.6,0.110386268,-0.049386268,D
210,2021-05-09 18:00:00,0.042,32.0,0.066634966,-0.024634966,D
902,2021-06-07 14:00:00,0.049,32.0,0.099704889,-0.050704889,D
594,2021-05-25 18:00:00,0.055,34.2,0.088554235,-0.033554234999999995,D
43,2021-05-02 19:00:00,0.048,30.9,0.052073138,-0.004073137999999997,D
617,2021-05-26 17:00:00,0.069,35.3,0.128456701,-0.059456701,D
40,2021-05-02 16:00:00,0.044,31.8,0.063720051,-0.019720051000000002,D
1024,2021-06-12 16:00:00,0.041,30.2,0.069461607,-0.028461606999999993,D
739,2021-05-31 19:00:00,0.041,31.5,0.065256641,-0.024256641000000002,D
66,2021-05-03 18:00:00,0.053,30.9,0.055012619,-0.002012619,D
645,2021-05-27 21:00:00,0.042,30.2,0.050758002,-0.008758002,D
901,2021-06-07 13:00:00,0.048,30.7,0.076572696,-0.028572695999999995,D
42,2021-05-02 18:00:00,0.05,31.7,0.072531565,-0.022531565000000003,D
307,2021-05-13 19:00:00,0.047,30.7,0.069879974,-0.022879973999999997,D
164,2021-05-07 20:00:00,0.044,31.5,0.057855434,-0.013855434,D
638,2021-05-27 14:00:00,0.082,33.7,0.145343376,-0.06334337599999999,D
495,2021-05-21 15:00:00,0.079,31.8,0.123885357,-0.044885357,D
596,2021-05-25 20:00:00,0.049,31.0,0.056034885,-0.007034884999999998,D
498,2021-05-21 18:00:00,0.082,32.5,0.110151301,-0.02815130099999999,D
