,datetime,PM10_simaj,Temp Ext,PM10_eLichens,residuals,Temp_Id
660,2021-05-28 12:00:00,49.1,29.0,88.48435,-39.384350000000005,C
411,2021-05-18 03:00:00,19.7,20.7,50.38186667,-30.68186667,C
490,2021-05-21 10:00:00,56.7,24.9,115.6799333,-58.9799333,C
312,2021-05-14 00:00:00,15.3,23.7,38.37983333,-23.079833329999996,C
62,2021-05-03 14:00:00,26.1,29.7,48.31286667,-22.212866669999997,C
869,2021-06-06 05:00:00,14.2,21.0,41.66883333,-27.46883333,C
242,2021-05-11 02:00:00,28.9,21.0,78.096,-49.196000000000005,C
501,2021-05-21 21:00:00,47.9,28.6,118.4238667,-70.52386670000001,C
1173,2021-06-18 21:00:00,22.0,24.2,45.72053333,-23.720533330000002,C
701,2021-05-30 05:00:00,39.0,23.4,118.8543667,-79.8543667,C
964,2021-06-10 04:00:00,34.0,23.8,178.9730333,-144.9730333,C
1401,2021-06-28 09:00:00,7.6,20.4,15.6785,-8.0785,C
1382,2021-06-27 14:00:00,7.0,23.5,17.02725,-10.027249999999999,C
960,2021-06-10 00:00:00,49.1,26.7,131.2708167,-82.17081670000002,C
1412,2021-06-28 20:00:00,9.2,22.4,20.20498333,-11.004983330000002,C
1158,2021-06-18 06:00:00,8.2,21.7,13.2276,-5.027600000000001,C
939,2021-06-09 03:00:00,50.7,24.0,151.6256833,-100.92568329999999,C
705,2021-05-30 09:00:00,42.7,23.8,107.8683833,-65.1683833,C
1418,2021-06-29 02:00:00,6.7,20.1,32.4768,-25.776799999999998,C
1217,2021-06-20 17:00:00,4.4,28.9,389.4487333,-385.04873330000004,C
1327,2021-06-25 07:00:00,19.1,19.3,112.67315,-93.57315,B
847,2021-06-05 07:00:00,19.3,19.9,60.71841667,-41.41841667,B
825,2021-06-04 09:00:00,11.7,18.3,53.17445,-41.474450000000004,B
27,2021-05-02 03:00:00,15.6,19.3,33.43686667,-17.83686667,B
463,2021-05-20 07:00:00,19.8,18.4,31.52425,-11.724249999999998,B
1037,2021-06-13 05:00:00,15.3,19.5,69.32363333,-54.02363333000001,B
792,2021-06-03 00:00:00,18.0,19.0,122.0821333,-104.0821333,B
1445,2021-06-30 05:00:00,5.2,19.7,10.83606667,-5.636066669999999,B
81,2021-05-04 09:00:00,47.8,19.5,103.27405,-55.474050000000005,B
53,2021-05-03 05:00:00,21.2,16.9,74.46706667,-53.26706666999999,B
1320,2021-06-25 00:00:00,-6.3,19.4,22.40563333,-28.70563333,B
412,2021-05-18 04:00:00,13.2,19.6,32.44551667,-19.245516670000004,B
99,2021-05-05 03:00:00,38.5,20.0,79.73783333,-41.23783333,B
1319,2021-06-24 23:00:00,9.0,19.1,26.3161,-17.3161,B
1326,2021-06-25 06:00:00,24.3,19.7,135.1779667,-110.87796670000002,B
51,2021-05-03 03:00:00,22.1,18.0,42.78641667,-20.68641667,B
1060,2021-06-14 04:00:00,6.9,19.5,31.41418333,-24.51418333,B
1039,2021-06-13 07:00:00,11.9,19.6,50.74863333,-38.84863333,B
1371,2021-06-27 03:00:00,1.3,17.7,7.61815,-6.31815,B
1391,2021-06-27 23:00:00,5.8,19.9,11.33545,-5.53545,B
163,2021-05-07 19:00:00,45.0,32.3,95.1629,-50.16289999999999,D
38,2021-05-02 14:00:00,13.6,30.5,25.91798333,-12.317983329999999,D
618,2021-05-26 18:00:00,50.2,35.1,105.5800333,-55.380033299999994,D
1005,2021-06-11 21:00:00,36.4,30.2,51.94391667,-15.543916670000002,D
927,2021-06-08 15:00:00,24.6,34.8,42.92558333,-18.32558333,D
519,2021-05-22 15:00:00,30.1,32.5,65.24625,-35.14625,D
517,2021-05-22 13:00:00,41.3,30.5,73.03026667,-31.730266670000006,D
134,2021-05-06 14:00:00,44.8,30.8,124.8791667,-80.0791667,D
715,2021-05-30 19:00:00,41.2,34.2,157.42935,-116.22935,D
713,2021-05-30 17:00:00,28.7,34.9,95.38826667,-66.68826666999999,D
734,2021-05-31 14:00:00,39.7,31.0,112.7422167,-73.0422167,D
663,2021-05-28 15:00:00,42.3,34.2,87.40123333,-45.10123333,D
110,2021-05-05 14:00:00,56.9,31.0,110.11595,-53.21595,D
379,2021-05-16 19:00:00,4.3,31.8,26.95003333,-22.65003333,D
87,2021-05-04 15:00:00,47.7,30.4,73.38291667,-25.682916669999997,D
207,2021-05-09 15:00:00,19.3,31.2,71.68891667,-52.38891667,D
925,2021-06-08 13:00:00,29.3,32.3,51.14368333,-21.84368333,D
15,2021-05-01 15:00:00,25.6,30.5,50.98271667,-25.38271667,D
208,2021-05-09 16:00:00,27.9,32.0,76.11328333,-48.21328333,D
928,2021-06-08 16:00:00,24.3,35.4,47.65251667,-23.352516669999996,D
